candidate,gene_1,gene_2,effect,pathway_relevance,uncertainty,priority,experiment_priority_0_10
KMT2A_PTPN13,KMT2A,PTPN13,0.113036275,0.42857142857142855,0.00531169306486845,0.04818815711858434,0.758358698183258
FOXA1_FOXO4,FOXA1,FOXO4,0.16939947,0.2857142857142857,0.0047125136479735374,0.048172833462237954,0.7581175429124793
ARID1A_FOXA3,ARID1A,FOXA3,0.3419519,0.14285714285714285,0.014399147592484951,0.04815685472424443,0.7578660783272377
PLK4_POU3F2,PLK4,POU3F2,0.1697751,0.2857142857142857,0.007373220287263393,0.04815213472118177,0.7577917975165147
KMT2A_SET,KMT2A,SET,0.34129107,0.14285714285714285,0.013758562505245209,0.048094160625530055,0.7568794331030222
FOXL2_NIT1,FOXL2,NIT1,0.34157187,0.14285714285714285,0.015167230740189552,0.048066938716086124,0.7564510296727528
NCL_SET,NCL,SET,0.34141135,0.14285714285714285,0.014905634336173534,0.04805673420083915,0.7562904366274689
FOXF1_KMT2A,FOXF1,KMT2A,0.112651944,0.42857142857142855,0.005305642262101173,0.04802460327543894,0.7557847778055728
PLK4_TBX3,PLK4,TBX3,0.34046072,0.14285714285714285,0.01314543653279543,0.04800618314881691,0.7554948919896227
FEV_TBX3,FEV,TBX3,0.34049267,0.14285714285714285,0.013311862014234066,0.04800280270941712,0.7554416924946472
SLC4A1_TBX3,SLC4A1,TBX3,0.3402554,0.14285714285714285,0.01318066194653511,0.04797556592374276,0.7550130549504498
MAML2_ZBTB10,MAML2,ZBTB10,0.33870304,0.14285714285714285,0.01024195272475481,0.04789560353689277,0.753754650910512
BCL2L11_FOXA1,BCL2L11,FOXA1,0.16846403,0.2857142857142857,0.005248040426522493,0.04788129838064146,0.7535295242337363
FOXL2_SET,FOXL2,SET,0.34060678,0.14285714285714285,0.01646307110786438,0.04787002366224083,0.7533520889201666
CITED1_FOXA3,CITED1,FOXA3,0.33929393,0.14285714285714285,0.012658151797950268,0.0478646825756636,0.7532680338388813
TBX3_TSC22D1,TBX3,TSC22D1,0.33890438,0.14285714285714285,0.01224589440971613,0.047829200207181656,0.7527096318501062
SLC4A1_UBASH3B,SLC4A1,UBASH3B,0.1686821,0.2857142857142857,0.008064801804721355,0.04780931262318034,0.7523966519974811
CEBPB_ELMSAN1,CEBPB,ELMSAN1,0.33944902,0.14285714285714285,0.014575229957699776,0.04779607806258662,0.7521883737660023
MEIS1_TGFBR2,MEIS1,TGFBR2,0.16877782,0.2857142857142857,0.009054812602698803,0.04778951021156838,0.7520850125410483
HOXC13_POU3F2,HOXC13,POU3F2,0.16818799,0.2857142857142857,0.0057942913845181465,0.04777687849729966,0.7518862215732784
CITED1_PTPN9,CITED1,PTPN9,0.3385342,0.14285714285714285,0.01238410547375679,0.04777043534049634,0.751784822717258
SET_SNAI1,SET,SNAI1,0.34011593,0.14285714285714285,0.017971038818359375,0.04773022886291913,0.7511520752992783
POU3F2_SLC38A2,POU3F2,SLC38A2,0.112287425,0.42857142857142855,0.008362147957086563,0.04772410589598819,0.7510557154152648
SLC38A2_UBASH3B,SLC38A2,UBASH3B,0.11224546,0.42857142857142855,0.008061021566390991,0.047720522199179424,0.7509993171670419
EGR1_TBX3,EGR1,TBX3,0.3390536,0.14285714285714285,0.015472047962248325,0.04769823927233999,0.7506486407270178
ISL2_TBX3,ISL2,TBX3,0.338304,0.14285714285714285,0.013453477062284946,0.04768758093993159,0.7504809057569888
DLX2_FOXA1,DLX2,FOXA1,0.16806823,0.2857142857142857,0.008639696054160595,0.0476081741746178,0.7492312457830222
